requirement_ru,stack,skills
"React JS 18+",,"react js"
"SASS",,"sas"
"i18next",,"i18next"
"Reduxjs + Reduxjs/toolkit",,"reduxjs|reduxjs/toolkit"
"HTML/CSS: знание семантических элементов; опыт верстки страниц, совместимых с различными браузерами",,"html|css"
"Уверенное знание JavaScript: замыкания, асинхронное программирование (async/await | Promises), ES6+",,"javascript|async/await|promises|es6+"
"Browser APIs",,"browser apis"
"Понимание REST API",,"rest api"
"Умение работы с WebSocket",,"websocket"
"Опыт работы с Webpack или другими инструментами сборки",,"webpack"
"Опыт работы с Canvas",,"canvas"
"Умение работы с git",,"git"
"Опыт работы с Typescript",,"typescript"
"Владение техниками тестирования кода (в том числе BDD, TDD)",,"bdd|tdd"
"Владение python (sanic / aiohttp)",,"python|sanic|aiohttp"
"docker",,"docker"
"nginx",,"nginx"
"Опыт работы с системами нагрузочного тестирования (MF LR, JMeter, Locust, IBM RPT) от 2-х лет",,"mf lr|jmeter|locust|ibm rpt"
"Знание методологий разработки ПО (Каскад, Итерационная, Инкрементная, Agile)",,"agile"
"Гибкие фреймворки Scrum, KanBan",,"scrum|kanban"
"Имеет навыки работы с ОС Windows и *nix",,"windows|nix"
"Стандарты работы XML и веб-служб",,"xml"
"Опыт работы с программами удалённого доступа по протоколам RDP/SSH/VNC",,"rdp|ssh|vnc"
"Опыт работы с таск-трекерами и системами управления тестированием (Jira, HP ALM, TSM)",,"jira|hp alm|tsm"
"Опыт работы с cистемами версионного контроля (Git, SVN)",,"git|svn"
"Опыт работы с Oracle, PostgeSQL, MSSQL",,"oracle|postgresql|ms sql"
"Практический опыт написания административных скриптов на встроенных в ОС языках BAT/BASH/PS/VBS/JS/PS",,"bat|bash|ps|vbs|js"
"Опыт написания сложных SQL запросов",,"sql"
"React JS 18+, SASS, i18next, Reduxjs + Reduxjs/toolkit, опыт работы с сайд-эффектами (redux-thunk, redux-saga)",,"react js"
"HTML/CSS: знание семантических элементов; опыт верстки страниц, совместимых с различными браузерами",,"sas"
"Уверенное знание JavaScript: замыкания, асинхронное программирование (async/await | Promises), ES6+, Browser APIs",,"i18next"
"Понимание REST API",,"reduxjs|reduxjs/toolkit"
"Умение работы с WebSocket",,"redux-thunk|redux-saga"
"Опыт работы с Webpack или другими инструментами сборки",,"html|css"
"Опыт работы с Canvas",,"javascript|async/await|promises|es6+|browser apis"
"Опыт работы с картами",,"rest api"
"Опыт работы с видео",,"websocket"
"Умение работы с git",,"webpack"
"Опыт работы с Typescript",,"canvas"
"Знание РСБУ и МСФО",,"рсбу|мсфо"
"Конфигурация УХ или БП Корп",,"1с:управление холдингом|1с:бухгалтерия корп"
"Опыт работы не менее 5-ти лет в сфере ИT / консалтинге, а также с корпоративными продуктами 1С",,"1с"
"Опыт работы в качестве функционального архитектора или ведущего консультанта автоматизированных систем на платформе 1С от 3-х лет",,"1с"
"Уверенные знания функциональных возможностей и опыт работы со следующими конфигурациями: 1С:Управление холдингом, 1С:Бухгалтеррия КОРП",,"1с:управление холдингом|1с:бухгалтерия корп"
"Портфолио проектов 1С с участием в роли не ниже ведущего аналитика",,"1с"
"Не менее одного проекта в портфолио на УХ/ERP с внедрением МСФО",,"ух/erp|мсфо"
"Уверенные предметные знания и опыт применения учета по МСФО",,"мсфо"
"Отличные знания конфигурации УХ/ERP в части функционального направления МСФО. Знание функционала 1С, позволяющего формировать проводки по МСФО на основании данных РСБУ, транслировать данные из различных подсистем 1С в МСФО, вести учет в нескольких планах счетов (РСБУ, МСФО). Владение методикой построения параллельного учета в 1С, обеспечивающего возможность отражения операций по РСБУ и МСФО в рамках одной системы",,"ух/erp|мсфо|1с|рсбу"
"Знание принципов построения конфигураций на платформе 1С, работы с объектами метаданных, механизмами и подходами к обеспечению функциональной интеграции",,"1с"
"Предметные знания и опыт внедрения функционального направления Консолидация",,"консолидация"
"Android SDK (Core компоненты)",,"kotlin"
